catalog_event_id,event_date,magnitude,depth_km
201401022040,2014-01-02 05:19:32-08,3.1,5
201401022050,2014-01-02 09:20:26-08,3.2,4.4
201401042017,2014-01-04 00:13:29-08,3.2,6.9
201401042012,2014-01-03 21:27:24-08,3,5.1
201401062025,2014-01-06 00:41:21-08,3.4,5
201401242015,2014-01-23 20:40:17-08,3.8,8.23
201401282017,2014-01-28 07:05:01-08,3,5.5
201401292003,2014-01-28 18:24:06-08,3.2,5
201402042071,2014-02-04 06:08:17-08,3.3,5
201402042078,2014-02-04 07:59:51-08,3,5
201402152001,2014-02-14 16:19:12-08,3.1,5
201402162040,2014-02-16 07:33:44-08,3,22.9
201402192031,2014-02-19 08:44:57-08,3.2,6.34
201403052029,2014-03-05 06:17:06-08,3.3,6.4
201403092052,2014-03-09 10:02:15-07,3,124.6
201403102020,2014-03-09 22:59:56-07,3.1,127.5
201403092053,2014-03-09 10:05:54-07,3,7.29
201403102055,2014-03-10 07:11:20-07,3.5,4.3
201403112044,2014-03-11 05:55:27-07,3.4,4.89
201403122069,2014-03-12 12:35:26-07,3.2,5
201403152073,2014-03-15 12:27:05-07,3,5
201403172087,2014-03-17 11:45:55-07,3.1,5.1
201403252033,2014-03-25 09:55:35-07,3.7,5
201403272016,2014-03-27 13:05:16-07,3.2,4.6
201403302008,2014-03-29 20:08:31-07,3.7,6.08
201403302010,2014-03-29 20:55:33-07,3.5,5
201403302014,2014-03-29 23:37:44-07,3.5,4.29
201403312020,2014-03-31 10:17:59-07,3.2,3.4
201404032100,2014-04-03 09:56:50-07,3.3,4.8
201404072003,2014-04-06 18:01:03-07,3.1,5
201404112026,2014-04-11 00:19:52-07,3,6.9
201404182071,2014-04-18 13:04:25-07,3.3,10.5
201404192030,2014-04-19 03:43:10-07,4,4.1
201404202060,2014-04-20 12:07:13-07,3.5,6.72
444818,2014-04-25 17:12:09-07,3.82,7.83
201404252021,2014-04-25 00:38:49-07,3.2,6.48
201404252042,2014-04-25 16:54:44-07,3,3.07
201404302015,2014-04-30 09:59:54-07,3,7.3
201405032021,2014-05-03 01:34:07-07,3.7,8.2
201405062031,2014-05-05 23:08:10-07,3.2,4.78
